major_group_code,major_group_title,occupation_count,group_total_employment,employment_share,mean_observed_exposure,mean_theoretical_exposure,mean_adoption_gap,mean_underadoption_ratio,weighted_observed_exposure,weighted_theoretical_exposure,weighted_adoption_gap,weighted_underadoption_ratio
17,Architecture and Engineering,34,2412720,0.01977208248037723,0.03807058823529411,0.8323310312206179,0.7942604429853238,0.9560911276332019,0.04507968102390663,0.8583756809550285,0.813295999931122,0.9482346198195735
11,Management,35,8818960,0.07227079997312061,0.09744857142857143,0.8568698203898351,0.7594212489612636,0.890671238094663,0.1303761138501592,0.9051335874755453,0.7747574736253862,0.8599092363179323
13,Business and Financial Operations,29,7812560,0.06402341784496167,0.17663448275862068,0.9215349034190035,0.7449004206603828,0.8128338278247446,0.2843513818773871,0.9371226323458428,0.6527712504684557,0.6980496737196134
19,"Life, Physical, and Social Science",46,1263240,0.01035216911722526,0.12191086956521739,0.7982731726045176,0.6763623030393002,0.8492559338313794,0.10450684351350496,0.7788406011347508,0.6743337576212456,0.8634714440633874
23,Legal,7,1132050,0.009277075653996752,0.21575714285714287,0.8725480198068788,0.656790876949736,0.7490870590753784,0.2037117680314474,0.8540391031304763,0.6503273350990288,0.7604813740751282
43,Office and Administrative Support,50,17965500,0.14722609660516642,0.190566,0.816474531186997,0.625908531186997,0.7879411015474515,0.34338046060504857,0.8779796702814215,0.5345992096763729,0.623952035718945
27,"Arts, Design, Entertainment, Sports, and Media",33,1734810,0.014216654401581295,0.14673030303030304,0.7573255852303897,0.6105952822000867,0.8255238284495471,0.1930044702301693,0.8095420372967033,0.6165375670665342,0.7874363143082211
25,Educational Instruction and Library,57,5907220,0.048409281255070616,0.1292964912280702,0.7201328293423789,0.5908363381143087,0.8305135765264972,0.18190125253503342,0.6386471477493983,0.45674589521436487,0.731015457457997
15,Computer and Mathematical,21,4654750,0.03814537158291717,0.37874761904761906,0.9551508800135338,0.5764032609659147,0.6023444601060041,0.3576532548471992,0.9262328779294661,0.5685796230822668,0.6093199164163652
29,Healthcare Practitioners and Technical,65,8377410,0.06865232662386725,0.041084615384615386,0.5870845276151642,0.5459999122305488,0.9492340364126444,0.05472822447510627,0.6118188327095637,0.5570906082344574,0.927133871639932
21,Community and Social Service,12,1748350,0.014327613815348457,0.05161666666666667,0.5595492678251238,0.5079326011584571,0.9169344484126984,0.04005848485715103,0.5422610723484588,0.5022025874913076,0.9299083099488361
41,Sales and Related,20,11994160,0.09829135614693846,0.236095,0.7392839046000327,0.5031889046000326,0.699605320005915,0.26903679474010683,0.6417981040768175,0.3727613093367106,0.5982869596198107
33,Protective Service,21,3250520,0.02663779864390223,0.011876190476190476,0.41417789036860136,0.4023016998924109,0.9778456664916825,0.028787721349199512,0.3299334945891074,0.30114577323990793,0.9459443807748837
53,Transportation and Material Moving,40,11969380,0.09808828566886237,0.0070975,0.3048861653111897,0.2977886653111897,0.9740241282051282,0.0021166028649771333,0.23633111986761218,0.234214517002635,0.9929923244478828
35,Food Preparation and Serving Related,11,9493120,0.07779549704736509,0.012854545454545455,0.2957176044040835,0.28286305894953806,0.9704060606060606,0.010151653197262859,0.2567482274249338,0.24659657422767092,0.9769997956063619
31,Healthcare Support,15,3192020,0.026158394972899353,0.05267333333333333,0.3350662507394551,0.28239291740612177,0.9250115750915751,0.022910198244371904,0.31028205551414395,0.28737185726977205,0.9653447912792967
39,Personal Care and Service,27,2446290,0.02004718643312196,0.01914814814814815,0.2938662391258889,0.27471809097774075,0.9444488388057686,0.020984661671347223,0.2497154803559679,0.22873081868462067,0.9077242791208949
45,"Farming, Fishing, and Forestry",10,416490,0.003413108289504092,0.0020299999999999997,0.23172934807374163,0.22969934807374165,0.9905266666666667,0.013510912626953827,0.21803554459535185,0.20452463196839804,0.9369490744075489
37,Building and Grounds Cleaning and Maintenance,6,1315580,0.010781091991418265,0.03298333333333333,0.24956316106141885,0.2165798277280855,0.9251943249701314,0.017657366332720168,0.15199547168827363,0.13433810535555346,0.960186172821222
49,"Installation, Maintenance, and Repair",43,5034860,0.041260348153599295,0.008279069767441862,0.218939292005036,0.21066022223759412,0.9795922634473554,0.017193454038443967,0.277192378573324,0.25999892453488,0.9626607294229093
51,Production,90,5812670,0.0476344501936463,0.008453333333333332,0.20281361617601418,0.19436028284268084,0.9524340402645123,0.007657102501948329,0.26297688572251565,0.2553197832205673,0.965487403869766
47,Construction and Extraction,37,5273940,0.04321959310510987,0.006110810810810811,0.14204511322815594,0.13593430241734514,0.9455084705793075,0.012150702700447862,0.22715800722432045,0.2150073045238726,0.9165732707119428
