term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_name,model_label
(Intercept),-1.455473184972946,0.25926393438582807,-5.613866766393195,2.8696705168137533e-8,-1.9645153647348292,-0.9464310052110629,model_1_baseline,Baseline controls
log_total_employment,0.015759042869123607,0.004722759688321616,3.33682929243518,8.929114845578367e-4,0.006486315091039717,0.025031770647207498,model_1_baseline,Baseline controls
log_annual_mean_wage,0.12681999952772172,0.025886763041804907,4.899028871354764,1.2014671912378633e-6,0.07599359238784753,0.1776464066675959,model_1_baseline,Baseline controls
job_zone,0.11078893864266928,0.01092157922697882,10.144040192373923,1.2473317850432412e-22,0.08934536798439997,0.13223250930093858,model_1_baseline,Baseline controls
(Intercept),-0.3875768036921667,0.27636226637916644,-1.4024230180556376,0.16124264860102186,-0.930197050613671,0.15504344322933755,model_2_structural,Structural covariates
log_total_employment,0.0018718426944616547,0.0045340196705749205,0.4128439730002985,0.679850308889246,-0.007030424990008987,0.010774110378932297,model_2_structural,Structural covariates
log_annual_mean_wage,0.07226907288293356,0.02648441699671021,2.7287394278647152,0.006521027293740978,0.020268555306448915,0.12426959045941821,model_2_structural,Structural covariates
job_zone,0.011215511881884882,0.012976484354779874,0.8642951029917175,0.38772878928640664,-0.01426301395674422,0.03669403772051398,model_2_structural,Structural covariates
digital_information_index_z,0.07007922872549498,0.013951801245728177,5.02295205409066,6.500471632068426e-7,0.04268572838934533,0.09747272906164461,model_2_structural,Structural covariates
interpersonal_index_z,0.03562291099649611,0.008419168080240106,4.231167575820648,2.6417681823752085e-5,0.0190923942858475,0.05215342770714472,model_2_structural,Structural covariates
physical_index_z,-0.12722358487608298,0.009261733572824492,-13.736476424821667,4.2606524107082176e-38,-0.14540842690987976,-0.1090387428422862,model_2_structural,Structural covariates
decision_index_z,-1.7143617042310422e-4,0.009165153778355393,-0.018705214835344198,0.9850817229999711,-0.01816664974079374,0.017823777399947532,model_2_structural,Structural covariates
compliance_index_z,0.0021139393633108055,0.010345462640840639,0.20433492794857105,0.8381525602593776,-0.018198737784112275,0.02242661651073389,model_2_structural,Structural covariates
log_total_employment,-0.003746299995214293,0.004458485663600225,-0.8402628779990643,0.40106391982773537,-0.01250075283535869,0.005008152844930105,model_3_major_group_fe,Major-group fixed effects
log_annual_mean_wage,0.05183664420123235,0.028216875565881316,1.837079519318258,0.06664557577072457,-0.003568559510527383,0.10724184791299209,model_3_major_group_fe,Major-group fixed effects
job_zone,0.020271530988631235,0.013931131502245427,1.4551245162938746,0.1461080839718765,-0.007082921385625229,0.0476259833628877,model_3_major_group_fe,Major-group fixed effects
digital_information_index_z,0.043761641004629065,0.01338846044843984,3.268608901909152,0.0011366055425820144,0.0174727495644446,0.07005053244481353,model_3_major_group_fe,Major-group fixed effects
interpersonal_index_z,0.031607780026500935,0.008987386453483364,3.5169045183597594,4.663973370099726e-4,0.013960610830572887,0.049254949222428984,model_3_major_group_fe,Major-group fixed effects
physical_index_z,-0.07153677934295523,0.00983008788120395,-7.2773285658758216,9.657779297664683e-13,-0.09083863366381985,-0.05223492502209061,model_3_major_group_fe,Major-group fixed effects
decision_index_z,0.008082239537755132,0.00817959602105314,0.9880976416136659,0.32346528978451083,-0.007978793965696606,0.02414327304120687,model_3_major_group_fe,Major-group fixed effects
compliance_index_z,0.008167112105770265,0.010152239833564185,0.8044640630700118,0.4214173801995523,-0.011767303198148126,0.028101527409688656,model_3_major_group_fe,Major-group fixed effects
log_total_employment,-0.00389572978716268,0.0043878059128950155,-0.8878537165269305,0.37494239165801335,-0.012511447183510042,0.004719987609184683,model_4_job_zone_fe,Major-group + job-zone fixed effects
log_annual_mean_wage,0.055421436229849394,0.027795730733998457,1.993883044854095,0.04657526615668097,8.428688129757111e-4,0.11000000364672308,model_4_job_zone_fe,Major-group + job-zone fixed effects
digital_information_index_z,0.047817797786391884,0.013522110701939653,3.5362672914320066,4.341862699015829e-4,0.02126633066984173,0.07436926490294204,model_4_job_zone_fe,Major-group + job-zone fixed effects
interpersonal_index_z,0.029690620168777396,0.008960871612818631,3.313362968654145,9.720924258902918e-4,0.012095416786124046,0.047285823551430746,model_4_job_zone_fe,Major-group + job-zone fixed effects
physical_index_z,-0.07130933560113918,0.009848693570398715,-7.240486780446383,1.2465598836766547e-12,-0.09064783010391754,-0.05197084109836082,model_4_job_zone_fe,Major-group + job-zone fixed effects
decision_index_z,0.007589854433981228,0.00820608876267347,0.9249052323811962,0.3553527337255611,-0.008523288013991962,0.023702996881954416,model_4_job_zone_fe,Major-group + job-zone fixed effects
compliance_index_z,0.0032332962656624812,0.010284145327794677,0.31439620528542517,0.7533193442652808,-0.016960233613781177,0.02342682614510614,model_4_job_zone_fe,Major-group + job-zone fixed effects
log_total_employment,-0.01607883128508938,0.008305653117198374,-1.935890056833125,0.05330721767214815,-0.03238747425390724,2.2981168372848346e-4,model_5_weighted_job_zone_fe,Employment-weighted fixed effects
log_annual_mean_wage,0.1490802578460766,0.05182058099460282,2.8768542340658723,0.004146105448589039,0.04732747068383604,0.25083304500831716,model_5_weighted_job_zone_fe,Employment-weighted fixed effects
digital_information_index_z,0.02902111485653543,0.03098374210953768,0.9366562229293118,0.3492775054841666,-0.0318173021556145,0.08985953186868535,model_5_weighted_job_zone_fe,Employment-weighted fixed effects
interpersonal_index_z,0.046964383246141765,0.017540886842961616,2.67742353431728,0.007603265027688526,0.012521810598129353,0.08140695589415417,model_5_weighted_job_zone_fe,Employment-weighted fixed effects
physical_index_z,-0.029373124009739453,0.02231331694655977,-1.3163943343828202,0.1884979943261171,-0.0731866464861351,0.014440398466656193,model_5_weighted_job_zone_fe,Employment-weighted fixed effects
decision_index_z,0.002645417123889319,0.017284481712265043,0.1530515735402199,0.8784043137099806,-0.03129368882825968,0.03658452307603832,model_5_weighted_job_zone_fe,Employment-weighted fixed effects
compliance_index_z,0.03902198409742093,0.019774619210795503,1.9733368153111017,0.048873336640258135,1.9334533746582366e-4,0.07785062285737604,model_5_weighted_job_zone_fe,Employment-weighted fixed effects
log_total_employment,-0.016249526376926626,0.0031141887260475094,-5.217900328587448,2.4251828139279564e-7,-0.022364420817372294,-0.010134631936480957,model_6_underadoption_fe,Under-adoption ratio fixed effects
log_annual_mean_wage,-7.686930494657061e-4,0.020012454319779816,-0.038410733495388864,0.969371800823185,-0.04006433516522474,0.03852694906629334,model_6_underadoption_fe,Under-adoption ratio fixed effects
digital_information_index_z,-0.023085303404844708,0.013410745293396443,-1.7214034641469251,0.08564552669426942,-0.049418097930404165,0.0032474911207147454,model_6_underadoption_fe,Under-adoption ratio fixed effects
interpersonal_index_z,0.005528926994539842,0.008080574957827736,0.6842244547442646,0.494073253024336,-0.010337761646369296,0.02139561563544898,model_6_underadoption_fe,Under-adoption ratio fixed effects
physical_index_z,0.04297872936129422,0.008866838032033,4.847131435809029,1.5626064140577586e-6,0.0255681664969087,0.060389292225679736,model_6_underadoption_fe,Under-adoption ratio fixed effects
decision_index_z,-0.001060258294572532,0.006534678268753889,-0.16225103225697365,0.8711577592887698,-0.013891487012820317,0.011770970423675252,model_6_underadoption_fe,Under-adoption ratio fixed effects
compliance_index_z,0.02204319748501778,0.009839987570653153,2.240165175691844,0.025411719978694288,0.0027217977295799986,0.04136459724045556,model_6_underadoption_fe,Under-adoption ratio fixed effects
